course_id,course_name,course_desc,course_category,course_level
1,Spoken Language Processing,Learn to design and build voice assistant or voice cloning systems;using available APIs and adjustable pre-trained models;as well as creating them from scratch in PyTorch. You will learn solid audio processing fundamentals combined with the most important advances in automatic speech recognition and speech synthesis methods.,Language Processing,A
2,Social Media Mining,Collect;analyze;and present insights from social media data — including the Twitter API — while learning concepts of natural language processing and graph analytics.,Language Processing,A
3,How to Implement ML Papers,Learn how to implement the proposed algorithms;models;and techniques from ML papers each week;while learning tips and tricks on debugging the implementation efforts and how to reproduce results in your own applications.,Machine Learning,A
4,Data Science Experimental Methods,Learn how to conduct experiments and run A/B tests to effectively measure the impact of product launches and support effective decision making. We will cover topics like multivariate testing;p-value;and how to design experiments correctly for different scenarios.,Data Science,B
5,Python for Data Science,Build projects like computing your own heart rate from an ECG;building a Shazam music identifier clone;and more while learning how to use core python libraries like Numpy;Scipy;Scikit;and Matplotlib.,Machine Learning,B
6,Advanced SQL,Over these four weeks;you will learn the advanced SQL kills necessary to dive into real datasets with confidence. We will clean up messy and nested data;learn about EAV schemas and pivots;and dive deep into advanced window functions. We will also cover performance;advanced joins;and other complex SQL patterns to optimize queries.,Data Engineering,A
7,MLOps: From Models to Production,Acquire the skills to build effective real-world ML systems (bootstrapping datasets;improving label quality;experimentation;model evaluation;deployment and observability) with hands-on projects. This course will help you bridge the gap between state-of-the-art ML modeling;and building real-world ML systems.,Machine Learning,B
8,Applied Machine Learning,Design;build;and debug machine learning models for classification and regression tasks using a variety of datasets with Python (Numpy;Scikit;Pyplot). Learn best practices to plan and execute ML development projects whether large or small.,Machine Learning,B
9,Search with Machine Learning,We have designed this course to cover the fundamentals of integrating machine learning and natural language processing techniques into search engines. We will dive into using machine learning for ranking;content understanding;and query understanding;along with how to use embeddings;dense vectors and deep learning to improve retrieval and ranking.,Machine Learning,A
10,Natural Language Processing,Build your own auto-compose tool and other projects while learning key NLP concepts such as BERT;entity recognition;intent classification;spacy;and Transformer models powering search engines like Google or voice assistants like Google Home or Amazon Alexa.,Language Processing,B
11,FREE Weekend Buildathon: NLP,DIY weekend project - FREE 48hr workshop to build a NLP project from scratch as the perfect way to learn a core NLP building block - word embeddings.,Language Processing,B
12,Fundamentals of Data Modeling,This course provides an introduction to the fundamentals of data modeling for modern data warehouses. We use the Kimball dimensional model to guide us;but that does not mean this class is all theory! We have designed this course so you will learn the theory behind data modeling (normalization / denormalization;star schemas;fact and dimension tables) and you will build actual models using real world data. We will use plain SQL so you can do modeling whether you only have access to SQL or you are using a tool like dbt. By the end of this course;you will have a deep understanding of dimensional modeling;and you will have built one from scratch.,Data Engineering,B
13,Data Science for Security and Risk,Head of Data at Mati will teach a course on using Data Science to improve Security and Risk ,Data Science,B
